estimate,p.value,Contrast,Q,Star
0.000228275583635617,0.997824646743276,GTwt_DSS - GTwt_Water,0.997824646743276, 
0.0161935838655643,0.842187595191704,GTtg_DSS - GTwt_Water,0.997824646743276, 
0.00928765370575867,0.908400336877358,GTtg_DSS - GTtg_Water,0.997824646743276, 
0.182732310686787,0.0220286875469798,GTtg_Water - GTwt_Water,0.111875044326025,*
0.151953140951384,0.0512914816584752,(GTwt_DSS - GTwt_Water) - (GTtg_DSS - GTtg_Water),0.111875044326025,.
0.160443732361883,0.0559375221630124,Cecal Patch,0.111875044326025,.
